         5x4E-4                   (5x4E-4.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
        78.3        0.55      0.6406      0.1782      0.1533       1.040       2.186       3.193                                                                          
        83.2        0.59      0.6650      0.1664      0.1465       0.995       2.089       2.981                                                                          
        88.1        0.62      0.6872      0.1543      0.1392       0.945       1.985       2.765                                                                          
        93.0        0.65      0.7071      0.1419      0.1313       0.891       1.873       2.543                                                                          
        97.9        0.69      0.7243      0.1292      0.1229       0.834       1.752       2.315                                                                          
       102.7        0.72      0.7377      0.1162      0.1139       0.773       1.625       2.082                                                                          
       107.6        0.76      0.7468      0.1029      0.1044       0.709       1.489       1.844                                                                          
       112.5        0.79      0.7494      0.0893      0.0944       0.641       1.347       1.601                                                                          
       117.4        0.83      0.7426      0.0753      0.0838       0.569       1.196       1.350                                                                          
       122.3        0.86      0.7204      0.0610      0.0729       0.495       1.040       1.093                                                                          
       127.2        0.90      0.6740      0.0463      0.0615       0.418       0.877       0.830                                                                          
       132.1        0.93      0.5791      0.0312      0.0501       0.340       0.714       0.559                                                                          
       137.0        0.96      0.3991      0.0160      0.0387       0.262       0.551       0.287                                                                          
       141.9        1.00      0.0265      0.0007      0.0275       0.187       0.392       0.013                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      31000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2748      0.2514       1.883       3.828       5.257                                                                          
         5.1        0.03      0.0425      0.2783      0.2261       1.693       3.443       5.324                                                                          
        10.1        0.07      0.0863      0.2786      0.2228       1.668       3.392       5.331                                                                          
        15.2        0.10      0.1313      0.2787      0.2197       1.646       3.346       5.332                                                                          
        20.3        0.14      0.1772      0.2782      0.2168       1.623       3.300       5.323                                                                          
        25.3        0.17      0.2232      0.2765      0.2138       1.601       3.255       5.291                                                                          
        30.4        0.21      0.2687      0.2733      0.2106       1.577       3.207       5.229                                                                          
        35.5        0.24      0.3130      0.2682      0.2070       1.550       3.152       5.131                                                                          
        40.5        0.28      0.3563      0.2611      0.2023       1.515       3.081       4.996                                                                          
        45.6        0.31      0.3989      0.2523      0.1965       1.471       2.991       4.827                                                                          
        50.7        0.35      0.4416      0.2430      0.1899       1.422       2.892       4.650                                                                          
        55.7        0.38      0.4840      0.2334      0.1831       1.371       2.788       4.466                                                                          
        60.8        0.41      0.5234      0.2233      0.1767       1.323       2.691       4.273                                                                          
        65.9        0.45      0.5563      0.2128      0.1716       1.285       2.613       4.071                                                                          
        70.9        0.48      0.5864      0.2018      0.1663       1.245       2.532       3.862                                                                          
        76.0        0.52      0.6148      0.1906      0.1605       1.202       2.444       3.647                                                                          
        81.1        0.55      0.6413      0.1790      0.1542       1.155       2.347       3.426                                                                          
        86.1        0.59      0.6659      0.1672      0.1473       1.103       2.243       3.198                                                                          
        91.2        0.62      0.6884      0.1550      0.1399       1.048       2.130       2.966                                                                          
        96.3        0.66      0.7086      0.1425      0.1319       0.988       2.008       2.727                                                                          
       101.3        0.69      0.7261      0.1297      0.1233       0.924       1.878       2.482                                                                          
       106.4        0.72      0.7397      0.1166      0.1143       0.856       1.740       2.231                                                                          
       111.5        0.76      0.7487      0.1032      0.1046       0.784       1.593       1.974                                                                          
       116.5        0.79      0.7518      0.0894      0.0944       0.707       1.437       1.710                                                                          
       121.6        0.83      0.7447      0.0752      0.0837       0.626       1.274       1.439                                                                          
       126.7        0.86      0.7227      0.0609      0.0727       0.544       1.106       1.164                                                                          
       131.7        0.90      0.6742      0.0459      0.0611       0.457       0.930       0.878                                                                          
       136.8        0.93      0.5832      0.0311      0.0497       0.372       0.756       0.595                                                                          
       141.8        0.97      0.3942      0.0155      0.0379       0.284       0.577       0.296                                                                          
       146.9        1.00     -0.0058     -0.0002      0.0268       0.201       0.408      -0.003                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      32000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2733      0.2665       2.195       4.324       5.572                                                                          
         5.2        0.03      0.0401      0.2772      0.2380       1.961       3.862       5.651                                                                          
        10.4        0.07      0.0822      0.2778      0.2332       1.921       3.783       5.664                                                                          
        15.7        0.10      0.1258      0.2783      0.2287       1.884       3.711       5.673                                                                          
        20.9        0.14      0.1709      0.2783      0.2246       1.850       3.644       5.674                                                                          
        26.1        0.17      0.2166      0.2772      0.2206       1.817       3.579       5.651                                                                          
        31.3        0.21      0.2621      0.2744      0.2165       1.784       3.513       5.594                                                                          
        36.6        0.24      0.3067      0.2696      0.2121       1.747       3.442       5.495                                                                          
        41.8        0.28      0.3506      0.2627      0.2067       1.702       3.353       5.356                                                                          
        47.0        0.31      0.3940      0.2539      0.2000       1.647       3.244       5.177                                                                          
        52.2        0.34      0.4381      0.2447      0.1926       1.586       3.124       4.990                                                                          
        57.5        0.38      0.4824      0.2352      0.1849       1.523       3.000       4.795                                                                          
        62.7        0.41      0.5223      0.2251      0.1783       1.469       2.892       4.589                                                                          
        67.9        0.45      0.5552      0.2145      0.1731       1.426       2.809       4.372                                                                          
        73.1        0.48      0.5854      0.2035      0.1678       1.382       2.722       4.149                                                                          
        78.4        0.52      0.6139      0.1922      0.1619       1.334       2.627       3.918                                                                          
        83.6        0.55      0.6407      0.1806      0.1555       1.281       2.522       3.681                                                                          
        88.8        0.59      0.6656      0.1687      0.1486       1.224       2.410       3.439                                                                          
        94.0        0.62      0.6884      0.1565      0.1411       1.162       2.289       3.191                                                                          
        99.3        0.66      0.7089      0.1439      0.1330       1.095       2.157       2.934                                                                          
       104.5        0.69      0.7268      0.1312      0.1244       1.025       2.019       2.674                                                                          
       109.7        0.72      0.7408      0.1179      0.1153       0.949       1.870       2.404                                                                          
       114.9        0.76      0.7508      0.1044      0.1055       0.869       1.711       2.129                                                                          
       120.1        0.79      0.7541      0.0906      0.0952       0.784       1.545       1.846                                                                          
       125.4        0.83      0.7482      0.0764      0.0845       0.696       1.371       1.558                                                                          
       130.6        0.86      0.7277      0.0618      0.0732       0.603       1.188       1.260                                                                          
       135.8        0.90      0.6815      0.0469      0.0617       0.508       1.001       0.956                                                                          
       141.0        0.93      0.5910      0.0319      0.0502       0.413       0.814       0.650                                                                          
       146.3        0.97      0.4067      0.0162      0.0385       0.317       0.625       0.331                                                                          
       151.5        1.00      0.0427      0.0012      0.0271       0.223       0.440       0.024                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      33000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2716      0.2844       2.569       4.906       5.890                                                                          
         5.4        0.03      0.0378      0.2760      0.2519       2.276       4.347       5.983                                                                          
        10.8        0.07      0.0779      0.2769      0.2452       2.215       4.231       6.003                                                                          
        16.2        0.10      0.1202      0.2777      0.2391       2.160       4.126       6.021                                                                          
        21.6        0.14      0.1645      0.2783      0.2336       2.110       4.030       6.033                                                                          
        27.0        0.17      0.2099      0.2779      0.2284       2.064       3.941       6.026                                                                          
        32.4        0.21      0.2556      0.2756      0.2233       2.018       3.853       5.976                                                                          
        37.7        0.24      0.3005      0.2711      0.2179       1.968       3.759       5.877                                                                          
        43.1        0.28      0.3453      0.2643      0.2114       1.910       3.647       5.731                                                                          
        48.5        0.31      0.3899      0.2556      0.2036       1.839       3.513       5.541                                                                          
        53.9        0.35      0.4358      0.2464      0.1951       1.762       3.366       5.341                                                                          
        59.3        0.38      0.4819      0.2368      0.1866       1.686       3.219       5.135                                                                          
        64.7        0.41      0.5221      0.2267      0.1798       1.624       3.102       4.915                                                                          
        70.1        0.45      0.5547      0.2159      0.1746       1.578       3.013       4.681                                                                          
        75.5        0.48      0.5851      0.2049      0.1692       1.529       2.919       4.442                                                                          
        80.9        0.52      0.6138      0.1935      0.1632       1.475       2.816       4.196                                                                          
        86.3        0.55      0.6407      0.1818      0.1567       1.416       2.704       3.943                                                                          
        91.7        0.59      0.6658      0.1698      0.1496       1.352       2.582       3.682                                                                          
        97.1        0.62      0.6890      0.1576      0.1421       1.283       2.451       3.416                                                                          
       102.5        0.66      0.7099      0.1450      0.1339       1.210       2.310       3.143                                                                          
       107.8        0.69      0.7280      0.1320      0.1251       1.130       2.159       2.862                                                                          
       113.2        0.72      0.7424      0.1187      0.1159       1.047       1.999       2.573                                                                          
       118.6        0.76      0.7525      0.1051      0.1060       0.958       1.829       2.278                                                                          
       124.0        0.79      0.7568      0.0912      0.0957       0.864       1.651       1.978                                                                          
       129.4        0.83      0.7514      0.0769      0.0848       0.766       1.463       1.668                                                                          
       134.8        0.86      0.7339      0.0626      0.0736       0.665       1.269       1.357                                                                          
       140.2        0.90      0.6865      0.0474      0.0620       0.560       1.069       1.028                                                                          
       145.6        0.93      0.5972      0.0322      0.0502       0.453       0.866       0.697                                                                          
       151.0        0.97      0.4166      0.0165      0.0384       0.347       0.662       0.359                                                                          
       156.4        1.00      0.0521      0.0014      0.0268       0.242       0.462       0.030                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      34000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2694      0.3099       3.062       5.676       6.200                                                                          
         5.6        0.03      0.0352      0.2744      0.2697       2.664       4.939       6.315                                                                          
        11.1        0.07      0.0733      0.2757      0.2599       2.568       4.761       6.345                                                                          
        16.7        0.10      0.1142      0.2769      0.2515       2.485       4.607       6.374                                                                          
        22.3        0.14      0.1575      0.2780      0.2441       2.411       4.470       6.399                                                                          
        27.8        0.17      0.2029      0.2786      0.2374       2.346       4.348       6.412                                                                          
        33.4        0.21      0.2486      0.2771      0.2312       2.284       4.235       6.378                                                                          
        39.0        0.24      0.2942      0.2729      0.2245       2.218       4.112       6.282                                                                          
        44.5        0.28      0.3399      0.2663      0.2167       2.141       3.968       6.129                                                                          
        50.1        0.31      0.3861      0.2575      0.2075       2.050       3.800       5.926                                                                          
        55.7        0.35      0.4344      0.2482      0.1976       1.952       3.619       5.714                                                                          
        61.2        0.38      0.4815      0.2386      0.1885       1.862       3.452       5.492                                                                          
        66.8        0.41      0.5220      0.2284      0.1815       1.793       3.325       5.257                                                                          
        72.3        0.45      0.5542      0.2175      0.1764       1.743       3.231       5.007                                                                          
        77.9        0.48      0.5848      0.2064      0.1708       1.688       3.129       4.750                                                                          
        83.5        0.52      0.6137      0.1949      0.1647       1.627       3.016       4.486                                                                          
        89.0        0.55      0.6409      0.1831      0.1580       1.561       2.894       4.214                                                                          
        94.6        0.59      0.6663      0.1710      0.1509       1.491       2.763       3.937                                                                          
       100.2        0.62      0.6897      0.1586      0.1431       1.414       2.621       3.651                                                                          
       105.7        0.66      0.7109      0.1459      0.1348       1.331       2.468       3.357                                                                          
       111.3        0.69      0.7293      0.1328      0.1259       1.244       2.306       3.057                                                                          
       116.9        0.73      0.7439      0.1194      0.1166       1.152       2.135       2.749                                                                          
       122.4        0.76      0.7545      0.1058      0.1066       1.053       1.953       2.434                                                                          
       128.0        0.80      0.7587      0.0917      0.0961       0.950       1.761       2.111                                                                          
       133.6        0.83      0.7543      0.0774      0.0851       0.841       1.559       1.782                                                                          
       139.1        0.86      0.7348      0.0627      0.0737       0.728       1.350       1.442                                                                          
       144.7        0.90      0.6888      0.0475      0.0620       0.612       1.135       1.093                                                                          
       150.3        0.93      0.6035      0.0324      0.0501       0.495       0.917       0.745                                                                          
       155.8        0.97      0.4297      0.0169      0.0381       0.376       0.697       0.389                                                                          
       161.4        1.00      0.0107      0.0003      0.0263       0.259       0.481       0.006                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      35000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2655      0.3570       3.848       6.930       6.475                                                                          
         5.7        0.03      0.0314      0.2713      0.2989       3.222       5.802       6.618                                                                          
        11.5        0.07      0.0673      0.2734      0.2814       3.033       5.461       6.668                                                                          
        17.2        0.10      0.1067      0.2753      0.2680       2.888       5.201       6.714                                                                          
        22.9        0.14      0.1485      0.2771      0.2583       2.785       5.014       6.759                                                                          
        28.7        0.17      0.1948      0.2786      0.2475       2.667       4.803       6.795                                                                          
        34.4        0.21      0.2415      0.2783      0.2394       2.580       4.645       6.789                                                                          
        40.1        0.24      0.2878      0.2751      0.2316       2.496       4.495       6.709                                                                          
        45.9        0.28      0.3351      0.2679      0.2213       2.386       4.296       6.534                                                                          
        51.6        0.31      0.3830      0.2597      0.2112       2.276       4.099       6.333                                                                          
        57.3        0.35      0.4337      0.2504      0.1998       2.153       3.877       6.106                                                                          
        63.1        0.38      0.4809      0.2407      0.1905       2.054       3.698       5.871                                                                          
        68.8        0.42      0.5211      0.2304      0.1836       1.979       3.563       5.619                                                                          
        74.6        0.45      0.5534      0.2195      0.1784       1.923       3.463       5.353                                                                          
        80.3        0.48      0.5837      0.2088      0.1733       1.868       3.363       5.092                                                                          
        86.0        0.52      0.6132      0.1966      0.1665       1.794       3.231       4.796                                                                          
        91.8        0.55      0.6406      0.1848      0.1597       1.721       3.099       4.506                                                                          
        97.5        0.59      0.6662      0.1726      0.1524       1.642       2.957       4.209                                                                          
       103.2        0.62      0.6900      0.1600      0.1444       1.557       2.804       3.903                                                                          
       109.0        0.66      0.7116      0.1471      0.1359       1.465       2.638       3.588                                                                          
       114.7        0.69      0.7301      0.1339      0.1270       1.368       2.464       3.266                                                                          
       120.4        0.73      0.7451      0.1205      0.1175       1.266       2.280       2.938                                                                          
       126.2        0.76      0.7562      0.1066      0.1073       1.157       2.083       2.600                                                                          
       131.9        0.80      0.7608      0.0924      0.0967       1.042       1.876       2.254                                                                          
       137.6        0.83      0.7568      0.0780      0.0856       0.923       1.662       1.903                                                                          
       143.4        0.87      0.7382      0.0632      0.0741       0.798       1.438       1.542                                                                          
       149.1        0.90      0.6929      0.0477      0.0619       0.668       1.202       1.164                                                                          
       154.8        0.93      0.6031      0.0322      0.0499       0.538       0.969       0.786                                                                          
       160.6        0.97      0.4092      0.0160      0.0379       0.408       0.735       0.390                                                                          
       166.3        1.00     -0.0170     -0.0004      0.0259       0.279       0.503      -0.011                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      36000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2608      0.4111       4.822       8.441       6.730                                                                          
         5.9        0.03      0.0268      0.2667      0.3450       4.046       7.083       6.881                                                                          
        11.8        0.07      0.0579      0.2684      0.3210       3.765       6.592       6.925                                                                          
        17.7        0.10      0.0937      0.2724      0.3019       3.541       6.199       7.029                                                                          
        23.6        0.14      0.1342      0.2748      0.2835       3.325       5.820       7.091                                                                          
        29.5        0.17      0.1800      0.2773      0.2666       3.127       5.474       7.154                                                                          
        35.4        0.21      0.2302      0.2798      0.2524       2.960       5.183       7.220                                                                          
        41.3        0.24      0.2806      0.2777      0.2397       2.812       4.922       7.165                                                                          
        47.2        0.28      0.3310      0.2685      0.2245       2.634       4.611       6.927                                                                          
        53.1        0.31      0.3808      0.2610      0.2134       2.503       4.383       6.734                                                                          
        59.0        0.35      0.4319      0.2531      0.2029       2.379       4.165       6.532                                                                          
        64.9        0.38      0.4800      0.2434      0.1931       2.265       3.965       6.282                                                                          
        70.8        0.42      0.5194      0.2330      0.1863       2.185       3.825       6.011                                                                          
        76.7        0.45      0.5519      0.2220      0.1810       2.123       3.717       5.729                                                                          
        82.6        0.48      0.5826      0.2106      0.1751       2.054       3.596       5.433                                                                          
        88.5        0.52      0.6119      0.1989      0.1687       1.979       3.464       5.131                                                                          
        94.4        0.55      0.6396      0.1868      0.1617       1.897       3.321       4.820                                                                          
       100.3        0.59      0.6655      0.1745      0.1543       1.809       3.168       4.503                                                                          
       106.2        0.62      0.6896      0.1618      0.1462       1.714       3.001       4.175                                                                          
       112.1        0.66      0.7117      0.1488      0.1375       1.612       2.823       3.839                                                                          
       118.0        0.69      0.7304      0.1354      0.1283       1.505       2.635       3.495                                                                          
       123.9        0.73      0.7457      0.1219      0.1188       1.393       2.438       3.144                                                                          
       129.8        0.76      0.7573      0.1079      0.1085       1.273       2.228       2.785                                                                          
       135.7        0.80      0.7627      0.0937      0.0978       1.146       2.007       2.417                                                                          
       141.6        0.83      0.7589      0.0790      0.0864       1.014       1.774       2.037                                                                          
       147.5        0.87      0.7419      0.0641      0.0747       0.876       1.534       1.653                                                                          
       153.4        0.90      0.7015      0.0489      0.0627       0.736       1.288       1.262                                                                          
       159.3        0.93      0.6084      0.0328      0.0504       0.591       1.035       0.847                                                                          
       165.2        0.97      0.4216      0.0165      0.0379       0.445       0.779       0.426                                                                          
       171.1        1.00      0.0325      0.0008      0.0257       0.301       0.527       0.021                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      37000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2544      0.4762       6.063      10.328       6.933                                                                          
         6.1        0.03      0.0229      0.2626      0.3968       5.053       8.607       7.158                                                                          
        12.1        0.07      0.0494      0.2655      0.3727       4.745       8.083       7.237                                                                          
        18.2        0.10      0.0831      0.2693      0.3366       4.286       7.301       7.339                                                                          
        24.3        0.14      0.1212      0.2724      0.3113       3.964       6.753       7.424                                                                          
        30.3        0.17      0.1642      0.2752      0.2902       3.695       6.294       7.501                                                                          
        36.4        0.21      0.2140      0.2782      0.2702       3.440       5.860       7.582                                                                          
        42.5        0.24      0.2724      0.2795      0.2487       3.167       5.395       7.617                                                                          
        48.5        0.28      0.3275      0.2742      0.2320       2.954       5.032       7.473                                                                          
        54.6        0.31      0.3775      0.2650      0.2189       2.787       4.747       7.224                                                                          
        60.7        0.35      0.4279      0.2521      0.2041       2.599       4.427       6.872                                                                          
        66.7        0.38      0.4762      0.2469      0.1975       2.515       4.284       6.729                                                                          
        72.8        0.42      0.5137      0.2362      0.1911       2.433       4.144       6.437                                                                          
        78.9        0.45      0.5452      0.2249      0.1858       2.366       4.030       6.131                                                                          
        84.9        0.48      0.5751      0.2134      0.1799       2.291       3.903       5.817                                                                          
        91.0        0.52      0.6032      0.2016      0.1736       2.210       3.765       5.494                                                                          
        97.1        0.55      0.6298      0.1894      0.1666       2.121       3.614       5.161                                                                          
       103.1        0.59      0.6551      0.1768      0.1589       2.024       3.447       4.820                                                                          
       109.2        0.62      0.6782      0.1615      0.1484       1.890       3.219       4.401                                                                          
