         5x4E-4                   (5x4E-4.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
         9.8        0.52      0.5900      0.1738      0.1530       0.002       0.039       0.055                                                                          
        10.5        0.55      0.6094      0.1629      0.1481       0.002       0.038       0.052                                                                          
        11.1        0.59      0.6260      0.1516      0.1426       0.002       0.036       0.048                                                                          
        11.8        0.62      0.6398      0.1401      0.1365       0.002       0.035       0.045                                                                          
        12.5        0.66      0.6513      0.1283      0.1296       0.002       0.033       0.041                                                                          
        13.1        0.69      0.6605      0.1164      0.1221       0.002       0.031       0.037                                                                          
        13.8        0.73      0.6673      0.1047      0.1141       0.002       0.029       0.033                                                                          
        14.4        0.76      0.6706      0.0931      0.1058       0.002       0.027       0.030                                                                          
        15.1        0.80      0.6687      0.0814      0.0970       0.002       0.025       0.026                                                                          
        15.7        0.83      0.6591      0.0693      0.0874       0.001       0.022       0.022                                                                          
        16.4        0.87      0.6341      0.0560      0.0765       0.001       0.019       0.018                                                                          
        17.1        0.90      0.5855      0.0425      0.0653       0.001       0.017       0.014                                                                          
        17.7        0.93      0.4970      0.0286      0.0537       0.001       0.014       0.009                                                                          
        18.4        0.97      0.3354      0.0145      0.0418       0.001       0.011       0.005                                                                          
        19.0        1.00     -0.0011      0.0000      0.0296       0.000       0.008       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2770      0.1772       0.006       0.070       0.138                                                                          
         0.8        0.03      0.0537      0.2750      0.1790       0.006       0.071       0.137                                                                          
         1.7        0.07      0.1055      0.2726      0.1804       0.006       0.071       0.136                                                                          
         2.5        0.10      0.1556      0.2695      0.1814       0.006       0.072       0.134                                                                          
         3.3        0.14      0.2041      0.2657      0.1819       0.006       0.072       0.132                                                                          
         4.1        0.17      0.2509      0.2612      0.1818       0.006       0.072       0.130                                                                          
         5.0        0.21      0.2957      0.2557      0.1812       0.006       0.072       0.127                                                                          
         5.8        0.24      0.3380      0.2493      0.1803       0.006       0.071       0.124                                                                          
         6.6        0.28      0.3780      0.2416      0.1786       0.006       0.071       0.120                                                                          
         7.4        0.31      0.4159      0.2326      0.1758       0.006       0.070       0.116                                                                          
         8.3        0.35      0.4519      0.2234      0.1726       0.005       0.068       0.111                                                                          
         9.1        0.38      0.4852      0.2149      0.1702       0.005       0.067       0.107                                                                          
         9.9        0.42      0.5163      0.2053      0.1666       0.005       0.066       0.102                                                                          
        10.7        0.45      0.5448      0.1953      0.1627       0.005       0.064       0.097                                                                          
        11.6        0.49      0.5703      0.1850      0.1586       0.005       0.063       0.092                                                                          
        12.4        0.52      0.5926      0.1744      0.1541       0.005       0.061       0.087                                                                          
        13.2        0.56      0.6120      0.1634      0.1492       0.005       0.059       0.081                                                                          
        14.1        0.59      0.6289      0.1525      0.1439       0.005       0.057       0.076                                                                          
        14.9        0.63      0.6432      0.1418      0.1386       0.004       0.055       0.071                                                                          
        15.7        0.66      0.6558      0.1316      0.1331       0.004       0.053       0.065                                                                          
        16.5        0.70      0.6663      0.1213      0.1271       0.004       0.050       0.060                                                                          
        17.4        0.73      0.6748      0.1106      0.1202       0.004       0.048       0.055                                                                          
        18.2        0.77      0.6802      0.0995      0.1124       0.004       0.045       0.050                                                                          
        19.0        0.80      0.6738      0.0826      0.0984       0.003       0.039       0.041                                                                          
        19.8        0.84      0.6668      0.0695      0.0874       0.003       0.035       0.035                                                                          
        20.7        0.87      0.6474      0.0562      0.0758       0.002       0.030       0.028                                                                          
        21.5        0.91      0.6071      0.0426      0.0637       0.002       0.025       0.021                                                                          
        22.3        0.94      0.5286      0.0286      0.0511       0.002       0.020       0.014                                                                          
        23.2        0.98      0.3697      0.0144      0.0382       0.001       0.015       0.007                                                                          
        24.0        1.01     -0.0060     -0.0002      0.0255       0.001       0.010       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2772      0.1771       0.010       0.101       0.199                                                                          
         1.0        0.03      0.0534      0.2752      0.1789       0.010       0.102       0.197                                                                          
         2.0        0.07      0.1051      0.2728      0.1804       0.010       0.103       0.196                                                                          
         3.0        0.10      0.1550      0.2698      0.1814       0.010       0.103       0.193                                                                          
         3.9        0.14      0.2032      0.2661      0.1819       0.010       0.104       0.191                                                                          
         4.9        0.17      0.2498      0.2615      0.1818       0.010       0.104       0.187                                                                          
         5.9        0.21      0.2944      0.2561      0.1813       0.010       0.103       0.184                                                                          
         6.9        0.24      0.3365      0.2497      0.1805       0.010       0.103       0.179                                                                          
         7.9        0.28      0.3762      0.2424      0.1791       0.010       0.102       0.174                                                                          
         8.9        0.31      0.4139      0.2337      0.1766       0.010       0.101       0.168                                                                          
         9.9        0.35      0.4498      0.2247      0.1735       0.009       0.099       0.161                                                                          
        10.9        0.38      0.4834      0.2153      0.1702       0.009       0.097       0.154                                                                          
        11.8        0.42      0.5145      0.2057      0.1667       0.009       0.095       0.147                                                                          
        12.8        0.45      0.5431      0.1958      0.1628       0.009       0.093       0.140                                                                          
        13.8        0.49      0.5687      0.1857      0.1588       0.009       0.091       0.133                                                                          
        14.8        0.52      0.5913      0.1758      0.1550       0.008       0.088       0.126                                                                          
        15.8        0.56      0.6111      0.1657      0.1507       0.008       0.086       0.119                                                                          
        16.8        0.59      0.6281      0.1549      0.1457       0.008       0.083       0.111                                                                          
        17.8        0.63      0.6423      0.1437      0.1399       0.008       0.080       0.103                                                                          
        18.8        0.66      0.6542      0.1321      0.1333       0.007       0.076       0.095                                                                          
        19.7        0.69      0.6637      0.1202      0.1258       0.007       0.072       0.086                                                                          
        20.7        0.73      0.6707      0.1079      0.1174       0.006       0.067       0.077                                                                          
        21.7        0.76      0.6739      0.0954      0.1082       0.006       0.062       0.068                                                                          
        22.7        0.80      0.6727      0.0826      0.0981       0.005       0.056       0.059                                                                          
        23.7        0.83      0.6657      0.0696      0.0871       0.005       0.050       0.050                                                                          
        24.7        0.87      0.6459      0.0562      0.0756       0.004       0.043       0.040                                                                          
        25.7        0.90      0.6047      0.0426      0.0637       0.003       0.036       0.031                                                                          
        26.6        0.94      0.5249      0.0287      0.0513       0.003       0.029       0.021                                                                          
        27.6        0.97      0.3635      0.0145      0.0388       0.002       0.022       0.010                                                                          
